HudongItem,relation,NewNode
鸬鹚科,topic's main category,Category:鸬鹚属
褐鲣鸟,topic's main category,Category:Sula leucogaster
红脚鲣鸟,topic's main category,Category:Sula sula
斑嘴鹈鹕,IUCN conservation status,近危物种
白鹈鹕,IUCN conservation status,无危物种
鹈鹕科,topic's main category,Category:Pelecanus
鹲科,topic's main template,Template:Phaethon
海燕科,topic's main category,Category:Hydrobatidae
鸬鹚科,described by source,Encyclopedia of Armenian Nature
鲣鸟科,topic's main category,Category:鲣鸟科
鹈鹕科,described by source,Encyclopedia of Armenian Nature
鹲科,topic's main category,Category:Phaethon
海燕科,described by source,俄语百科全书
鸬鹚科,described by source,俄语百科全书
鹲科,described by source,俄语百科全书
鹈鹕科,described by source,Bible Encyclopedia of Archimandrite Nicephorus
鹈鹕科,described by source,Explanatory Dictionary of the Living Great Russian Language
鹈鹕科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
鹈鹕科,described by source,俄语百科全书
鹱科,instance of,生物分类单元
信天翁科,instance of,生物分类单元
鹱科,topic's main category,Category:鹱科
信天翁科,topic's main category,Category:Diomedeidae
鹱科,described by source,亚美尼亚苏维埃百科全书
海蝰,instance of,生物分类单元
尖吻蝮,instance of,生物分类单元
草原蝰,instance of,生物分类单元
蝰蛇,instance of,生物分类单元
鹱科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
海蝰,parent taxon,海蛇属
尖吻蝮,parent taxon,Deinagkistrodon
草原蝰,parent taxon,蝰属
蝰蛇,parent taxon,蝰蛇科
海蝰,taxon synonym,Praescutata viperina
尖吻蝮,topic's main category,Category:Deinagkistrodon acutus
草原蝰,IUCN conservation status,易危物种
蝰蛇,topic's main category,Category:Viperinae
草原蝰,named after,Antonio Orsini
草原蝰,topic's main category,Category:Vipera ursinii
蝰蛇,described by source,地狱辞典
白头蝰,instance of,生物分类单元
丽纹蛇,instance of,生物分类单元
极北蝰,instance of,生物分类单元
白头蝰,parent taxon,Azemiops
花条蛇,instance of,生物分类单元
黑斑水蛇,instance of,生物分类单元
眼镜王蛇,instance of,生物分类单元
紫沙蛇,instance of,生物分类单元
眼镜蛇科,instance of,生物分类单元
繁花林蛇,instance of,生物分类单元
白头蝰,IUCN conservation status,无危物种
丽纹蛇,parent taxon,Sinomicrurus
极北蝰,parent taxon,蝰属
白头蝰,named after,Leonardo Fea
花条蛇,parent taxon,花条蛇属
黑斑水蛇,parent taxon,Myrrophis
绿瘦蛇,instance of,生物分类单元
乌梢蛇,instance of,生物分类单元
极北蝰,topic's main category,Category:Vipera berus
眼镜王蛇,parent taxon,Ophiophagus
紫沙蛇,parent taxon,Psammodynastes
眼镜蛇科,parent taxon,新蛇小目
繁花林蛇,parent taxon,林蛇属
白头蝰,topic's main category,Category:Azemiopinae
花条蛇,described by source,亚美尼亚苏维埃百科全书
极北蝰,Status in the Red List of Threatened Species in the Czech Republic,vulnerable
眼镜王蛇,IUCN conservation status,易危物种
眼镜蛇科,topic's main category,Category:眼镜蛇科
绿瘦蛇,parent taxon,瘦蛇属
滑鼠蛇,instance of,生物分类单元
灰鼠蛇,instance of,生物分类单元
乌梢蛇,parent taxon,鼠蛇属
眼镜王蛇,topic's main category,Category:Ophiophagus hannah
眼镜蛇科,described by source,Bible Encyclopedia of Archimandrite Nicephorus
绿瘦蛇,IUCN conservation status,无危物种
眼镜蛇科,described by source,Great Soviet Encyclopedia (1926–1947)
绿瘦蛇,topic's main category,Category:Ahaetulla prasina
滑鼠蛇,parent taxon,鼠蛇属
灰鼠蛇,parent taxon,鼠蛇属
眼镜蛇科,described by source,Jewish Encyclopedia of Brockhaus and Efron
滑鼠蛇,topic's main category,Category:Ptyas mucosa
灰鼠蛇,topic's main category,Category:Ptyas korros
眼镜蛇科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
广西后棱蛇,instance of,生物分类单元
眼镜蛇科,described by source,Explanatory Dictionary of the Living Great Russian Language
眼镜蛇科,described by source,俄语百科全书
广西后棱蛇,parent taxon,后棱蛇属
眼镜蛇科,described by source,Sytin Military Encyclopedia
广西后棱蛇,IUCN conservation status,近危物种
翠青蛇,instance of,生物分类单元
黑眉锦蛇,instance of,生物分类单元
红点锦蛇,instance of,生物分类单元
翠青蛇,parent taxon,翠青蛇属
黑眉锦蛇,parent taxon,曙蛇属
红点锦蛇,parent taxon,Oocatochus
王锦蛇,instance of,生物分类单元
粉链蛇,instance of,生物分类单元
翠青蛇,IUCN conservation status,无危物种
黑眉锦蛇,topic's main category,Category:Orthriophis taeniurus
红点锦蛇,taxon synonym,Elaphe rufodorsata
红点锦蛇,IUCN conservation status,无危物种
赤链蛇,instance of,生物分类单元
黄脊游蛇,instance of,生物分类单元
王锦蛇,parent taxon,锦蛇属
粉链蛇,parent taxon,白环蛇属
王锦蛇,topic's main category,Category:Elaphe carinata
粉链蛇,original combination,Dinodon rosozonatum
赤链蛇,parent taxon,白环蛇属
滇西蛇,instance of,生物分类单元
钝头蛇,instance of,生物分类单元
黄脊游蛇,parent taxon,Hierophis
粉链蛇,IUCN conservation status,数据缺乏
赤链蛇,taxon synonym,Dinodon rufozonatum
赤链蛇,IUCN conservation status,无危物种
滇西蛇,parent taxon,Atretium
美姑脊蛇,instance of,生物分类单元
台湾脊蛇,instance of,生物分类单元
游蛇科,instance of,生物分类单元
钝头蛇,parent taxon,钝头蛇属
赤链蛇,subject has role,原始组合
滇西蛇,IUCN conservation status,无危物种
美姑脊蛇,parent taxon,脊蛇属
大盲蛇,instance of,生物分类单元
鳄蜥,instance of,生物分类单元
台湾脊蛇,parent taxon,脊蛇属
游蛇科,parent taxon,新蛇小目
美姑脊蛇,IUCN conservation status,无危物种
大盲蛇,instance of,异名
台湾脊蛇,IUCN conservation status,无危物种
游蛇科,topic's main category,Category:游蛇科
雪山草蜥,instance of,生物分类单元
黑龙江草蜥,instance of,生物分类单元
鳄蜥,parent taxon,Crocodile lizard
台湾脊蛇,topic's main category,Category:Achalinus formosanus
游蛇科,described by source,Encyclopedia of Armenian Nature
鳄蜥,IUCN conservation status,濒危物种
大盲蛇,IUCN conservation status,无危物种
雪山草蜥,parent taxon,Takydromus
黑龙江草蜥,parent taxon,Takydromus
鳄蜥,topic's main category,Category:Shinisaurus crocodilurus
大盲蛇,subject has role,原始组合
粗疣壁虎,instance of,生物分类单元
大壁虎,instance of,生物分类单元
壁虎,instance of,生物分类单元
壁虎科,instance of,生物分类单元
粗疣壁虎,parent taxon,Gekko
粗疣壁虎,IUCN conservation status,数据缺乏
大壁虎,parent taxon,Gekko
壁虎,parent taxon,壁虎下目
西藏沙蜥,instance of,生物分类单元
壁虎科,parent taxon,澳洲蜥虎科
大壁虎,topic's main category,Category:Gekko gecko
壁虎,topic's main category,Category:壁虎科
壁虎,described by source,Encyclopedia of Armenian Nature
西藏沙蜥,parent taxon,Phrynocephalus
南疆沙蜥,instance of,生物分类单元
白条沙蜥,instance of,生物分类单元
蜡皮蜥,instance of,生物分类单元
壁虎,described by source,俄语百科全书
西藏沙蜥,IUCN conservation status,无危物种
南疆沙蜥,parent taxon,Phrynocephalus
白条沙蜥,parent taxon,Phrynocephalus
蜡皮蜥,parent taxon,蜡皮蜥亚科
丽棘蜥,instance of,生物分类单元
鬣蜥科,instance of,生物分类单元
山瑞鳖,instance of,生物分类单元
鳖,instance of,生物分类单元
丽棘蜥,parent taxon,Acanthosaura
鼋,instance of,生物分类单元
棱皮龟科,instance of,单型
玳瑁,instance of,生物分类单元
陆龟科,instance of,生物分类单元
鬣蜥科,parent taxon,鬣蜥亚目
山瑞鳖,parent taxon,Palea
鳖,parent taxon,曲颈龟亚目
丽棘蜥,IUCN conservation status,无危物种
鬣蜥科,topic's main category,Category:飞蜥科
山瑞鳖,IUCN conservation status,濒危物种
鳖,topic's main category,Category:鳖科
鼋,parent taxon,鼋属
棱皮龟科,parent taxon,曲颈龟亚目
玳瑁,parent taxon,Eretmochelys
花龟,instance of,生物分类单元
大头乌龟,instance of,生物分类单元
乌龟,instance of,音乐组合
陆龟科,parent taxon,曲颈龟亚目
鬣蜥科,described by source,Nordisk familjebok
鼋,IUCN conservation status,濒危物种
棱皮龟科,topic's main category,Category:Dermochelyidae
玳瑁,IUCN conservation status,极危
乌龟,genre,嘻哈音乐
陆龟科,topic's main category,Category:陆龟总科
鼋,named after,Theodore Edward Cantor
玳瑁,topic's main category,Category:Eretmochelys
花龟,parent taxon,石龟属
大头乌龟,parent taxon,Chinemys
平胸龟,instance of,生物分类单元
鬣蜥科,described by source,Great Soviet Encyclopedia (1926–1947)
花龟,IUCN conservation status,濒危物种
大头乌龟,subject has role,原始组合
鬣蜥科,described by source,俄语百科全书
平胸龟,parent taxon,Platysternon
饰纹姬蛙,instance of,生物分类单元
平胸龟,IUCN conservation status,濒危物种
平胸龟,topic's main category,Category:Platysternon megacephalum
饰纹姬蛙,parent taxon,姬蛙属
饰纹姬蛙,IUCN conservation status,无危物种
武夷湍蛙,instance of,生物分类单元
武夷湍蛙,parent taxon,湍蛙属
武夷湍蛙,IUCN conservation status,无危物种
崇安湍蛙,instance of,生物分类单元
崇安湍蛙,parent taxon,湍蛙属
崇安湍蛙,IUCN conservation status,无危物种
泽蛙,instance of,生物分类单元
泽蛙,parent taxon,Fejervarya
泽蛙,IUCN conservation status,无危物种
隆肛蛙,instance of,生物分类单元
日本林蛙,instance of,生物分类单元
隆肛蛙,parent taxon,Nanorana
日本林蛙,parent taxon,蛙属
隆肛蛙,original combination,Rana quadranus
日本林蛙,IUCN conservation status,无危物种
隆肛蛙,IUCN conservation status,近危物种
蛙科,instance of,生物分类单元
华西雨蛙,instance of,生物分类单元
中国雨蛙,instance of,生物分类单元
雨蛙科,instance of,生物分类单元
蛙科,topic's main category,Category:蛙科
黑眶蟾蜍,instance of,生物分类单元
华西雨蛙,parent taxon,雨蛙属
中国雨蛙,parent taxon,雨蛙属
华西雨蛙,IUCN conservation status,无危物种
中国雨蛙,IUCN conservation status,无危物种
雨蛙科,parent taxon,Hyloidea
黑眶蟾蜍,parent taxon,Duttaphrynus
花背蟾蜍,instance of,生物分类单元
雨蛙科,topic's main category,Category:雨蛙科
黑眶蟾蜍,original combination,Bufo melanostictus
黑眶蟾蜍,IUCN conservation status,无危物种
花背蟾蜍,parent taxon,Strauchbufo
黑眶蟾蜍,topic's main category,Category:Duttaphrynus melanostictus
花背蟾蜍,original combination,Bufo raddei
花背蟾蜍,IUCN conservation status,无危物种
崇安髭蟾,instance of,生物分类单元
崇安髭蟾,parent taxon,髭蟾属
崇安髭蟾,subject has role,原始组合
小地老虎,instance of,生物分类单元
夜蛾科,instance of,生物分类单元
灯蛾科,instance of,生物分类单元
舟蛾科,instance of,生物分类单元
灯蛾科,instance of,异名
霜天蛾,instance of,生物分类单元
小地老虎,parent taxon,地夜蛾属
夜蛾科,parent taxon,夜蛾总科
舟蛾科,parent taxon,夜蛾总科
小地老虎,topic's main category,Category:Agrotis ipsilon
夜蛾科,topic's main category,Category:夜蛾科
灯蛾科,parent taxon,夜蛾总科
舟蛾科,topic's main category,Category:Notodontidae
绒星天蛾,instance of,生物分类单元
天蛾科,instance of,生物分类单元
霜天蛾,parent taxon,霜天蛾属
夜蛾科,described by source,俄语百科全书
灯蛾科,topic's main category,Category:灯蛾科
霜天蛾,topic's main category,Category:Psilogramma menephron
夜蛾科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
绒星天蛾,parent taxon,星天蛾属
家蚕,instance of,生物分类单元
尺蛾科,instance of,生物分类单元
草地螟,instance of,生物分类单元
天蛾科,parent taxon,蚕蛾总科
家蚕,subclass of,驯养动物
天蛾科,topic's main category,Category:天蛾科
桃蛀螟,instance of,生物分类单元
螟蛾科,instance of,生物分类单元
斑蛾科,instance of,生物分类单元
刺蛾科,instance of,生物分类单元
鞘蛾科,instance of,生物分类单元
细蛾科,instance of,生物分类单元
蝙蝠蛾科,instance of,生物分类单元
尺蛾科,parent taxon,尺蛾总科
草地螟,parent taxon,Loxostege
天蛾科,described by source,俄语百科全书
家蚕,parent taxon,Bombyx
尺蛾科,topic's main category,Category:尺蛾科
草地螟,host,荒野蒿
桃蛀螟,parent taxon,Conogethes
螟蛾科,parent taxon,螟蛾总科
花蝇科,instance of,生物分类单元
斑蛾科,parent taxon,斑蛾总科
地中海实蝇,instance of,生物分类单元
实蝇科,instance of,生物分类单元
绿豆象,instance of,生物分类单元
星天牛,instance of,生物分类单元
天牛科,instance of,生物分类单元
刺蛾科,parent taxon,斑蛾总科
鞘蛾科,parent taxon,麦蛾总科
细蛾科,parent taxon,细蛾总科
蝙蝠蛾科,parent taxon,Hepialoidea
草地螟,host,北艾
家蚕,this taxon is source of,pat silk
螟蛾科,topic's main category,Category:螟蛾科
斑蛾科,topic's main category,Category:斑蛾科
刺蛾科,topic's main category,Category:刺蛾科
鞘蛾科,topic's main category,Category:Coleophoridae
细蛾科,topic's main category,Category:Gracillariidae
蝙蝠蛾科,topic's main category,Category:Hepialidae
草地螟,topic's main category,Category:Loxostege sticticalis
家蚕,topic's main category,Category:Bombyx mori
螟蛾科,described by source,New Encyclopedic Dictionary
花蝇科,parent taxon,有瓣亚组
地中海实蝇,parent taxon,Ceratitis
实蝇科,parent taxon,无瓣亚组
萤科,instance of,生物分类单元
锹甲科,instance of,生物分类单元
盾蝽科,instance of,生物分类单元
盲蝽科,instance of,生物分类单元
荔蝽,instance of,生物分类单元
茶翅蝽,instance of,生物分类单元
绿豆象,parent taxon,金花虫科
星天牛,parent taxon,Anoplophora
天牛科,parent taxon,Chrysomeloidea
家蚕,described by source,亚美尼亚苏维埃百科全书
花蝇科,topic's main category,Category:花蝇科
地中海实蝇,topic's main category,Category:Ceratitis capitata
实蝇科,topic's main category,Category:实蝇科
绿豆象,topic's main category,Category:Bruchidae
星天牛,topic's main category,Category:Anoplophora chinensis
天牛科,topic's main category,Category:Cerambycidae
实蝇科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
萤科,parent taxon,叩头虫总科
锹甲科,parent taxon,金龟总科
蝽科,instance of,生物分类单元
粉蚧科,instance of,生物分类单元
梨二叉蚜,instance of,生物分类单元
玉米蚜,instance of,生物分类单元
桃蚜,instance of,生物分类单元
盾蝽科,parent taxon,Pentatomoidea
盲蝽科,parent taxon,异翅亚目
荔蝽,parent taxon,Tessaratoma
茶翅蝽,parent taxon,Halyomorpha
绿豆象,described by source,俄语百科全书
天牛科,described by source,Encyclopedia of Armenian Nature
实蝇科,described by source,俄语百科全书
萤科,topic's main category,Category:Lampyridae
锹甲科,topic's main template,Template:Taxonomy/Lucanidae
盾蝽科,topic's main category,Category:Scutelleridae
盲蝽科,topic's main category,Category:盲蝽科
茶翅蝽,topic's main category,Category:Halyomorpha halys
萤科,described by source,Nordisk familjebok
锹甲科,topic's main category,Category:锹形虫科
蝽科,parent taxon,Pentatomoidea
粉蚧科,parent taxon,胸喙亚目
豆蚜,instance of,生物分类单元
蚜科,instance of,生物分类单元
粉虱科,instance of,生物分类单元
同翅目,instance of,生物分类单元
黑翅土白蚁,instance of,生物分类单元
科,instance of,分类级别
梨二叉蚜,parent taxon,Schizaphis
玉米蚜,parent taxon,Rhopalosiphum
桃蚜,parent taxon,Myzus
锹甲科,described by source,俄语百科全书
蝽科,use,生物控制
粉蚧科,topic's main category,Category:Pseudococcidae
枝,instance of,日本汉字字符
科,instance of,动物分类级别
桃蚜,topic's main category,Category:Myzus persicae
锹甲科,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
巨,instance of,维基媒体消歧义页
蜚蠊科,instance of,生物分类单元
德国小蠊,instance of,生物分类单元
蝗科,instance of,生物分类单元
直翅目,instance of,生物分类单元
工程,subclass of,music production
负责人,instance of,维基媒体消歧义页
粉虱科,parent taxon,胸喙亚目
同翅目,parent taxon,Paraneoptera
黑翅土白蚁,parent taxon,Odontotermes
枝,grade of kanji,5年级汉字
科,instance of,植物分类级别
蝽科,topic's main category,Category:蝽科
蚜科,topic's main category,Category:常蚜科
巨,different from,Mega
工程,subclass of,电脑程式设计
面积,subclass of,定积分
负责人,different from,利德
同翅目,topic's main category,Category:半翅目
枝,radical,木部
科,part of,领科
蝽科,described by source,俄语百科全书
蚜科,described by source,Encyclopedia of Armenian Nature
蜚蠊科,parent taxon,Blattoidae
德国小蠊,parent taxon,Blattella
数量,subclass of,属性
军队,subclass of,武装组织
蝗科,parent taxon,Acridoidea
直翅目,parent taxon,复新生翅总群
工程,practiced by,music programmer
负责人,different from,Leader
粉虱科,topic's main category,Category:粉蝨科
同翅目,described by source,Nordisk familjebok
蜚蠊科,topic's main category,Category:蜚蠊科
数量,subclass of,数学对象
军队,studied by,军事史
蝗科,topic's main category,Category:蝗科
直翅目,topic's main category,Category:直翅目
面积,subclass of,国际量制导出量
负责人,different from,Leader
德国小蠊,topic's main category,Category:Blattella germanica
水泵,topic's main category,Category:泵
职业,instance of,论文
年龄,instance of,持续时间
姓名,subclass of,人名学
森林公园,subclass of,exterior space
坡度,subclass of,线 (几何)
数量,has quality,标量类别
军队,topic's main Wikimedia portal,Portal:军事
直翅目,described by source,Encyclopedia of Armenian Nature
面积,topic's main category,Category:面积
负责人,said to be the same as,Ledare
德国小蠊,described by source,俄语百科全书
水泵,described by source,俄语百科全书
姓名,subclass of,full object name
自然保护区,subclass of,自然景观
森林公园,subclass of,庭园
类型,subclass of,类
数量,opposite of,定性性质
军队,topic's main category,Category:军事
面积,described by source,ISO 80000–3:2006: Quantities and units—Part 3: Space and time
德国小蠊,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
水泵,described by source,俄语百科全书
年龄,subclass of,时间间隔
姓名,subclass of,personal data
湿度,instance of,内含属性
风力,instance of,维基媒体消歧义页
天气,subclass of,自然现象
性质,instance of,元类
腐殖质,subclass of,有机物质
自然保护区,subclass of,研究项目
类型,topic's main template,Template:数据类型
坡度,part of,大地测量学
数量,topic's main category,Category:量
军队,described by source,俄语百科全书
面积,on focus list of Wikimedia project,Wikipedia:基础条目
科,topic's main category,Category:Families (biology)
水泵,described by source,New Encyclopedic Dictionary
姓名,used by,personal name system
海拔,subclass of,z-axis
湿度,described by source,Great Soviet Encyclopedia (1926–1947)
天气,subclass of,meteorological concept
结构,has quality,spatial arrangement
腐殖质,described by source,亚美尼亚苏维埃百科全书
自然保护区,topic's main category,Category:自然保护区
类型,topic's main category,Category:数据类型
坡度,different from,玉攻棋
军队,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
水泵,partially coincident with,fluid accelerator
年龄,calculated from,出生日期
姓名,topic's main template,Template:各文化人名
海拔,opposite of,depth
湿度,different from,air humidity
形态,subclass of,生物过程
行政区划,instance of,行政区划类型
天气,subclass of,状况
结构,topic's main category,Category:结构
腐殖质,described by source,Great Encyclopedia of Cyril and Methodius
自然保护区,described by source,Encyclopedia of Armenian Nature
类型,disjoint union of,list values as qualifiers
军队,described by source,Sytin Military Encyclopedia
年龄,calculated from,时间点
姓名,topic's main category,Category:人名
起源,genre,长篇小说
形态,topic's main template,Template:Genarch
行政区划,subclass of,human-geographic territorial entity
可燃物,subclass of,储能技术
结构,described by source,亚美尼亚苏维埃百科全书
自然保护区,different from,Reserva Natural (Spain)
军队,different from,军人
起源,author,丹·布朗
铁杉,instance of,生物分类单元
樟子松,instance of,生物分类单元
颜色,subclass of,absence
行政区划,part of,hierarchy of administrative territorial entities
可燃物,present in work,EVERSPACE
性质,described by source,亚美尼亚苏维埃百科全书
自然保护区,different from,forest reserve
数量,said to be the same as,度量尺度
年龄,described by source,俄语百科全书
起源,publisher,双日出版社
刨花板,material used,pressed wood
纤维板,material used,木质纤维
人造板,subclass of,manufactured product
颜色,subclass of,absorbed or reflected object light
行政区划,topic's main template,Template:Infobox subdivision
可燃物,contributing factor of,火灾
天气,immediate cause of,简易居所
性质,different from,property
军队,said to be the same as,武装部队
年龄,described by source,俄语百科全书
姓名,disjoint union of,list values as qualifiers
人造板,topic's main category,Category:人造木板
胶合板,subclass of,panel
铁杉,parent taxon,Tsuga sect. Tsuga
樟子松,parent taxon,欧洲赤松
颜色,subclass of,光学现象
行政区划,topic's main template,Template:Infobox administrative subdivision 2
可燃物,has quality,燃烧
性质,said to be the same as,measure
军队,facet of,军事
年龄,described by source,俄语百科全书
广州管圆线虫病,instance of,传染病
胶合板,topic's main category,Category:Plywood
铁杉,basionym,Abies chinensis
颜色,opposite of,colorlessness
行政区划,topic's main category,Category:行政领土实体
天气,has quality,atmospheric phenomenon
性质,said to be the same as,质
军队,on focus list of Wikimedia project,Wikipedia:基础条目
广州管圆线虫病,subclass of,蠕虫感染
胶合板,described by source,亚美尼亚苏维埃百科全书
铁杉,IUCN conservation status,无危物种
颜色,topic's main template,Template:Infobox color
行政区划,different from,统计领土实体
可燃物,described by source,俄语百科全书
天气,topic's main Wikimedia portal,Portal:气象
起源,narrative location,圣家堂
广州管圆线虫病,subclass of,眼部疾病
铁杉,topic's main category,Category:Tsuga chinensis
颜色,topic's main template,Template:Color topics
可燃物,described by source,俄语百科全书
天气,topic's main template,Template:Infobox weather type
起源,narrative location,毕尔巴鄂古根海姆美术馆
广州管圆线虫病,subclass of,intestinal disease
颜色,topic's main category,Category:颜色
可燃物,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
天气,topic's main category,Category:天气
起源,characters,罗柏·兰登
颜色,described by source,亚美尼亚苏维埃百科全书
天气,described by source,Encyclopedia of Armenian Nature
起源,follows,地狱
广州管圆线虫病,subclass of,中枢神经系统疾病
颜色,described by source,俄语百科全书
可燃物,different from,comburent
广州管圆线虫病,subclass of,Strongylida infectious disease
颜色,described by source,Explanatory Dictionary of the Living Great Russian Language
可燃物,different from,催化
天气,on focus list of Wikimedia project,Wikipedia:基础条目
广州管圆线虫病,has cause,广东住血线虫
广州管圆线虫病,health specialty,感染科
颜色,on focus list of Wikimedia project,Wikipedia:基础条目
口蹄疫,instance of,bovine disease
狂犬病,instance of,传染病
口蹄疫,subclass of,Picornaviridae infectious disease
犬瘟热,instance of,dog disease
狂犬病,instance of,法定传染病
牛痘,instance of,传染病
犬瘟热,subclass of,Morbillivirus infectious disease
猴痘,subclass of,病毒感染
伪狂犬病,instance of,swine disease
猪瘟,instance of,生物分类单元
猪传染性胃肠炎,instance of,swine disease
狂犬病,subclass of,Central nervous system viral disease
口蹄疫,health specialty,感染科
黄热病,instance of,传染病
流行性乙型脑炎,instance of,传染病
牛痘,subclass of,Poxviridae infectious disease
犬瘟热,has cause,Canine distemper virus
猴痘,subclass of,Poxviridae infectious disease
伪狂犬病,subclass of,Varicellovirus infectious disease
猫传染性腹膜炎,subclass of,feline infectious disease
白喉,instance of,传染病
狂犬病,subclass of,Rhabdoviridae infectious disease
口蹄疫,topic's main category,Category:Foot-and-mouth disease
黄热病,subclass of,rare skin disease
流行性乙型脑炎,subclass of,horse disease
体育馆,subclass of,体育场地
公园,subclass of,绿色空间
牛痘,subclass of,病毒感染
犬瘟热,discoverer or inventor,Henri Carré
伪狂犬病,named after,Aladár Aujeszky
猪瘟,parent taxon,瘟疫病毒属
猫传染性腹膜炎,subclass of,cat disease
白喉,instance of,法定传染病
狂犬病,subclass of,病毒感染
口蹄疫,described by source,亚美尼亚苏维埃百科全书
黄热病,subclass of,arbovirosis
流行性乙型脑炎,subclass of,病毒感染
破伤风,instance of,传染病
体育馆,subclass of,public assembly hall
公园,subclass of,公共空间
犬瘟热,health specialty,感染科
猴痘,health specialty,感染科
伪狂犬病,has cause,Suid herpesvirus 1
猪瘟,has effect,classical swine fever
猫传染性腹膜炎,health specialty,感染科
白喉,subclass of,primary bacterial infectious disease
黄热病,subclass of,skin infection
流行性乙型脑炎,subclass of,infectious disease with epilepsy
破伤风,instance of,法定传染病
宾馆,subclass of,旅行住宿
图书馆,subclass of,画廊，图书馆，档案馆和博物馆
博物馆,subclass of,画廊，图书馆，档案馆和博物馆
体育馆,subclass of,室内运动场地
牛痘,health specialty,感染科
犬瘟热,described by source,俄语百科全书
猴痘,topic's main category,Category:Monkeypox
伪狂犬病,health specialty,感染科
猪瘟,described by source,俄语百科全书
白喉,subclass of,bacterial infectious disease
黄热病,subclass of,flavivirus infectious disease
流行性乙型脑炎,subclass of,flavivirus infectious disease
破伤风,subclass of,primary bacterial infectious disease
图书馆,subclass of,文化组织
公园,subclass of,建筑结构
伪狂犬病,host,家猪
猪瘟,ICTV virus genome composition,正链单股RNA病毒
白喉,has cause,白喉杆菌
黄热病,subclass of,病毒感染
流行性乙型脑炎,subclass of,脑病变
破伤风,subclass of,infectious disease of the nervous system
宾馆,subclass of,Accommodation and food service act
图书馆,subclass of,collection
博物馆,subclass of,公共空间
体育馆,topic's main category,Category:Gyms
公园,topic's main template,Template:Infobox park
白喉,health specialty,感染科
狂犬病,health specialty,感染科
黄热病,has cause,yellow fever virus
流行性乙型脑炎,has cause,Japanese encephalitis virus
破伤风,subclass of,bacterial infectious disease
宾馆,subclass of,地理实体
图书馆,part of,图书馆信息学
博物馆,subclass of,旅游胜地
体育馆,different from,健身房
公园,topic's main category,Category:公园
白喉,medical examinations,Elek's test
狂犬病,symptoms,瘫痪
黄热病,health specialty,感染科
流行性乙型脑炎,health specialty,感染科
破伤风,subclass of,geonosis
宾馆,use,服务
图书馆,feast day,8月10日
博物馆,office held by head of the organization,museum director
体育馆,different from,D'Société de gymnastique
公园,described by source,亚美尼亚苏维埃百科全书
狂犬病,symptoms,aquaphobia
破伤风,has cause,破伤风梭菌
宾馆,use,服务
图书馆,feast day,10月24日
白喉,drug used for treatment,tylosin
黄热病,symptoms,心跳过缓
流行性乙型脑炎,symptoms,发冷
破伤风,health specialty,感染科
宾馆,uses,hotel building
图书馆,topic's main template,Template:Infobox library
博物馆,uses,博物馆建筑
白喉,topic's main category,Category:白喉
狂犬病,symptoms,失眠
黄热病,symptoms,疲倦
流行性乙型脑炎,symptoms,关节疼痛
破伤风,drug used for treatment,metocurine iodide
宾馆,topic's main template,Template:Infobox hotel
图书馆,topic's main category,Category:图书馆
博物馆,topic's main template,Template:Infobox museum
白喉,described by source,亚美尼亚苏维埃百科全书
狂犬病,possible treatment,暴露后预防疗法
黄热病,symptoms,头痛
流行性乙型脑炎,symptoms,疲倦
宾馆,topic's main category,Category:旅馆
图书馆,described by source,亚美尼亚苏维埃百科全书
博物馆,topic's main category,Category:博物馆
狂犬病,topic's main category,Category:狂犬病
流行性乙型脑炎,symptoms,头痛
破伤风,drug used for treatment,orphenadrine
宾馆,described by source,亚美尼亚苏维埃百科全书
图书馆,described by source,Sytin Military Encyclopedia
博物馆,described by source,俄语百科全书
狂犬病,described by source,亚美尼亚苏维埃百科全书
黄热病,symptoms,发绀
破伤风,drug used for treatment,cyclobenzaprine
宾馆,described by source,俄语百科全书
图书馆,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
博物馆,different from,博物馆建筑
黄热病,pathogen transmission process,mosquito borne transmission
流行性乙型脑炎,symptoms,落枕
破伤风,drug used for treatment,methocarbamol
宾馆,described by source,Bible Encyclopedia of Archimandrite Nicephorus
图书馆,described by source,Orthodox Theological Encyclopedia
博物馆,said to be the same as,博物馆建筑
狂犬病,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
黄热病,pathogen transmission process,Sabethes
流行性乙型脑炎,pathogen transmission process,mosquito borne transmission
破伤风,topic's main category,Category:破伤风
图书馆,described by source,俄语百科全书
博物馆,category for eponymous categories,Category:以博物馆命名的分类
黄热病,pathogen transmission process,Haemagogus
流行性乙型脑炎,pathogen transmission process,Culex tritaeniorhynchus
图书馆,described by source,Jewish Encyclopedia of Brockhaus and Efron
博物馆,maintained by WikiProject,博物馆专题
黄热病,topic's main category,Category:黄热病
流行性乙型脑炎,topic's main category,Category:Japanese encephalitis
图书馆,has part,Special collections
博物馆,model item,阿姆斯特丹国家博物馆
